,0,1,2,3,4,5,6,7,8,9,10,11,12,13
zone,Restricted Area,Mid High Post,Left Wing,Top of the Key,Right Wing,Left Conor,Right Conor,Rirht Low Post,Left Low Post,Mid MidRange,MidRange Left Wing,MidRange Right Wing,MidRange Left Conor,MidRange Right Conor
Santi Aldama,73.46,53.77,44.55,25.76,35.29,42.11,36.36,42.22,52.94,50.0,33.33,0.0,,33.33
Scoot Henderson,55.9,37.97,25.37,30.59,41.38,40.91,36.36,30.0,28.0,31.25,64.71,37.5,14.29,40.0
Scottie Barnes,65.44,44.59,27.78,26.5,24.44,34.38,33.33,52.17,37.14,40.0,38.3,34.62,47.37,50.0
Scotty Pippen Jr.,62.12,44.14,30.38,40.85,41.67,28.57,73.08,41.18,40.91,25.0,0.0,42.86,,
Seth Curry,74.19,38.71,33.33,55.56,44.44,55.17,51.72,30.0,25.0,52.94,65.0,42.31,71.43,28.57
Shaedon Sharpe,71.38,38.98,30.38,30.0,31.71,38.64,31.58,30.0,36.67,46.38,48.21,48.48,37.5,33.33
Shai Gilgeous-Alexander,68.74,52.96,37.29,40.1,28.0,30.77,33.33,48.6,47.26,52.69,46.94,45.12,47.5,54.29
Shake Milton,61.54,45.0,44.44,30.0,36.36,27.78,38.89,50.0,35.71,71.43,33.33,50.0,100.0,
Sidy Cissoko,75.0,75.0,20.0,0.0,0.0,50.0,33.33,50.0,0.0,,,,0.0,
Simone Fontecchio,57.69,50.0,38.0,30.3,40.35,30.77,26.09,42.86,0.0,50.0,60.0,0.0,50.0,50.0
Skal Labissière,,50.0,,100.0,,,,,,,0.0,,,
Spencer Dinwiddie,58.12,46.6,32.77,32.14,29.27,48.28,35.29,41.51,40.54,35.71,60.0,45.45,50.0,33.33
Spencer Jones,57.14,66.67,0.0,,25.0,0.0,0.0,50.0,0.0,100.0,,,,
Stanley Umude,66.67,0.0,50.0,0.0,,25.0,20.0,,,0.0,,0.0,,
Stephen Curry,67.07,39.47,40.18,35.02,40.58,45.0,54.55,44.78,55.71,46.67,55.17,63.64,40.0,30.0
Stephon Castle,62.43,35.86,26.73,27.55,30.0,31.25,35.29,37.74,45.83,27.59,14.29,35.29,40.0,25.0
Steven Adams,61.6,46.67,,,,,,33.33,33.33,,,,,
Svi Mykhailiuk,57.14,55.56,46.15,17.31,39.39,31.25,42.11,33.33,33.33,25.0,33.33,66.67,100.0,0.0
T.J. McConnell,62.73,51.4,33.33,35.0,0.0,45.45,42.86,43.81,42.86,50.0,54.55,75.0,0.0,21.43
Taj Gibson,54.39,35.29,,,,100.0,0.0,100.0,33.33,0.0,100.0,33.33,,33.33
Talen Horton-Tucker,58.59,48.15,31.82,18.75,52.38,53.33,23.08,50.0,50.0,,0.0,0.0,0.0,100.0
Tari Eason,67.32,45.78,34.21,42.11,31.75,35.71,35.85,14.29,8.33,25.0,57.14,40.0,0.0,33.33
Taurean Prince,57.73,32.5,40.7,46.15,41.67,48.89,38.46,42.86,44.44,40.0,0.0,0.0,100.0,60.0
Taylor Hendricks,50.0,0.0,0.0,,0.0,33.33,50.0,0.0,,0.0,,,,
Taze Moore,50.0,0.0,,33.33,,,,0.0,0.0,,,,,
Terance Mann,72.58,50.82,38.71,21.43,30.95,28.57,52.27,35.29,36.84,50.0,33.33,20.0,33.33,33.33
Terence Davis,,0.0,,100.0,0.0,,,,,,,0.0,,
Terrence Shannon Jr.,65.91,41.67,33.33,,25.0,50.0,33.33,14.29,22.22,50.0,0.0,,,0.0
Terry Rozier,57.35,40.48,35.9,36.11,23.53,28.57,25.45,35.14,50.0,42.86,35.29,60.0,44.44,66.67
Terry Taylor,,0.0,,,,,,,,,,,,
Thomas Bryant,67.19,62.96,30.43,27.27,27.78,35.71,44.83,37.5,50.0,100.0,50.0,50.0,100.0,100.0
Tidjane Salaün,57.89,12.5,28.3,24.07,26.92,46.15,20.0,12.5,37.5,0.0,,,100.0,25.0
Tim Hardaway Jr.,66.67,41.86,41.8,37.86,31.41,38.0,33.33,37.5,50.0,40.0,11.11,26.32,62.5,33.33
Tobias Harris,73.22,48.86,34.78,26.19,31.25,35.42,42.53,43.37,53.23,30.43,22.73,42.86,33.33,33.33
Tolu Smith,66.67,,,,,,,,,,,,,
Tony Bradley,61.29,70.0,,,,50.0,0.0,,100.0,100.0,,,,
Torrey Craig,66.67,42.86,44.44,28.57,50.0,29.41,30.77,0.0,100.0,0.0,,,,
Tosan Evbuomwan,68.42,38.89,40.0,33.33,26.92,21.43,36.84,33.33,20.0,0.0,0.0,0.0,100.0,
Toumani Camara,63.87,28.33,34.62,51.72,38.2,36.36,36.0,56.67,18.75,100.0,,0.0,,
Trae Young,52.73,45.21,32.67,33.66,34.38,42.11,40.0,45.33,52.63,44.68,57.14,36.67,36.36,30.0
Trayce Jackson-Davis,69.37,36.59,0.0,,,,0.0,38.46,42.11,,0.0,0.0,,0.0
Tre Jones,66.99,44.19,25.0,28.57,37.5,38.46,54.55,42.86,64.29,50.0,0.0,0.0,,
Tre Mann,45.1,50.0,40.0,47.37,31.25,57.14,25.0,54.55,0.0,,25.0,57.14,,50.0
Trendon Watford,60.94,42.16,23.08,40.0,35.0,15.38,45.45,47.37,50.0,33.33,0.0,0.0,,
Trentyn Flowers,50.0,50.0,,,0.0,0.0,,,,,0.0,,,
Trevelin Queen,57.78,31.25,8.7,50.0,34.78,30.0,55.56,50.0,0.0,0.0,50.0,,,
Trey Alexander,25.0,33.33,25.0,0.0,0.0,50.0,33.33,50.0,100.0,66.67,0.0,40.0,,
Trey Jemison,68.09,36.84,,,,,,25.0,33.33,0.0,,,,
Trey Lyles,62.5,40.91,28.57,33.33,37.04,47.73,23.33,50.0,25.0,,0.0,75.0,0.0,100.0
Trey Murphy III,70.5,43.14,36.43,35.19,30.21,52.63,44.83,36.0,34.48,12.5,25.0,75.0,44.44,
Tristan Da Silva,59.84,36.36,33.93,41.94,23.21,34.88,37.74,44.44,54.55,14.29,14.29,25.0,66.67,0.0
Tristan Thompson,56.41,35.71,,0.0,0.0,,0.0,50.0,50.0,,0.0,0.0,,
Tristan Vukcevic,75.86,48.78,34.62,40.82,38.46,33.33,33.33,23.53,33.33,60.0,66.67,80.0,,
Tristen Newton,100.0,0.0,0.0,,,,,0.0,,,,,,
Ty Jerome,53.4,59.32,45.24,43.75,40.0,56.52,38.89,46.15,53.33,52.63,50.0,54.55,50.0,
TyTy Washington Jr.,100.0,40.0,33.33,16.67,0.0,50.0,0.0,33.33,100.0,25.0,,33.33,,50.0
Tyler Herro,66.11,58.56,39.26,37.68,32.42,43.59,45.65,46.58,47.14,39.47,57.14,44.74,28.57,40.0
Tyler Kolek,40.0,22.22,41.67,14.29,40.0,25.0,42.86,0.0,42.86,100.0,,,100.0,
Tyler Smith,63.64,50.0,40.0,40.0,50.0,50.0,37.5,,,100.0,0.0,,,0.0
Tyrese Haliburton,73.42,57.04,37.04,43.13,34.76,52.94,39.39,59.26,37.04,60.98,33.33,50.79,25.0,35.71
Tyrese Martin,68.83,37.5,37.97,34.09,27.42,39.13,39.13,38.46,18.18,75.0,20.0,50.0,0.0,0.0
Tyrese Maxey,59.74,43.15,32.86,35.9,33.33,33.33,29.63,44.83,33.33,41.38,47.37,45.0,25.0,50.0
Tyson Etienne,33.33,100.0,16.67,20.0,33.33,60.0,33.33,100.0,,,,,,
Tyus Jones,76.79,45.31,40.43,30.65,36.96,53.09,41.27,40.91,46.88,22.22,38.46,33.33,20.0,100.0
Ulrich Chomche,50.0,50.0,,,,,,,,0.0,,,,
Vasilije Micić,52.0,18.6,31.25,43.48,32.56,0.0,33.33,0.0,50.0,30.0,0.0,44.44,0.0,25.0
Victor Wembanyama,77.61,50.0,37.76,37.24,30.26,25.0,57.14,33.33,43.75,40.91,50.0,35.48,12.5,60.0
Vince Williams Jr.,60.0,53.85,15.79,33.33,20.0,55.0,30.77,75.0,50.0,,50.0,,,
Vit Krejci,72.5,54.55,35.71,49.15,33.33,39.13,75.0,75.0,41.67,66.67,100.0,,0.0,
Vlatko Čančar,50.0,66.67,0.0,0.0,40.0,0.0,66.67,,,,,,,
Walker Kessler,75.0,53.85,0.0,12.5,0.0,57.14,0.0,47.37,57.14,0.0,,,,
Wendell Carter Jr.,71.92,37.8,28.95,18.0,22.22,27.5,22.73,50.0,41.18,40.0,50.0,20.0,75.0,0.0
Wendell Moore Jr.,60.78,56.25,16.67,50.0,22.22,50.0,33.33,66.67,0.0,25.0,,,0.0,50.0
Xavier Tillman Sr.,66.67,0.0,15.38,25.0,25.0,0.0,20.0,0.0,,,,,100.0,
Yuki Kawamura,50.0,100.0,14.29,25.0,60.0,,33.33,,,50.0,50.0,,,
Yuri Collins,,0.0,,,,,,,,,,100.0,,
Yves Missi,59.62,40.0,,,,,,36.0,41.67,,,0.0,,100.0
Zaccharie Risacher,61.65,42.39,32.63,25.81,25.32,45.33,40.54,31.25,42.5,33.33,33.33,66.67,44.44,33.33
Zach Collins,70.83,45.45,35.0,32.08,14.29,36.36,21.43,33.33,75.0,50.0,100.0,,,33.33
Zach Edey,73.76,44.86,28.57,45.45,28.57,22.22,28.57,25.93,18.18,50.0,,0.0,,0.0
Zach LaVine,69.6,47.37,50.29,40.41,38.46,52.0,41.86,73.91,32.14,49.02,33.96,39.29,38.89,44.44
Zeke Nnaji,65.67,33.33,30.0,50.0,28.57,23.08,35.29,0.0,0.0,,50.0,,50.0,
Ziaire Williams,60.69,31.03,39.22,27.59,37.08,33.33,28.77,41.18,18.18,50.0,50.0,0.0,0.0,0.0
Zion Williamson,63.28,49.67,25.0,0.0,66.67,0.0,,50.0,44.12,33.33,0.0,0.0,,
Zyon Pullin,,,,,,,,,0.0,,,,,
