,0,1,2,3,4,5,6,7,8,9,10,11,12,13
zone,Restricted Area,Mid High Post,Left Wing,Top of the Key,Right Wing,Left Conor,Right Conor,Rirht Low Post,Left Low Post,Mid MidRange,MidRange Left Wing,MidRange Right Wing,MidRange Left Conor,MidRange Right Conor
Enrique Freeman,63.64,20.0,0.0,,,0.0,33.33,,,,,,,
Eric Gordon,55.26,41.18,56.0,34.29,38.0,40.0,57.14,16.67,,0.0,0.0,,100.0,100.0
Evan Mobley,76.37,40.57,36.99,36.99,36.67,37.5,44.0,46.34,29.63,37.5,0.0,14.29,0.0,33.33
Franz Wagner,68.22,45.52,25.56,26.27,30.59,35.71,38.1,36.71,51.35,34.62,52.0,46.15,0.0,40.0
Fred VanVleet,50.0,33.77,37.41,34.13,38.67,34.38,32.0,26.67,56.52,45.1,40.62,46.67,20.0,25.0
GG Jackson II,50.0,23.33,23.53,43.48,34.48,29.41,30.0,0.0,71.43,100.0,0.0,,,0.0
Gabe Vincent,66.67,34.48,31.52,43.48,30.65,33.33,46.94,50.0,50.0,75.0,50.0,33.33,66.67,0.0
Garrett Temple,52.94,33.33,37.5,0.0,11.11,20.0,25.0,,0.0,0.0,0.0,0.0,50.0,
Garrison Mathews,54.55,50.0,25.81,25.0,37.25,58.33,56.1,33.33,40.0,0.0,,0.0,50.0,50.0
Gary Harris,64.29,23.08,41.94,30.77,25.0,37.5,31.25,50.0,,0.0,100.0,50.0,100.0,
Gary Payton II,79.87,45.24,43.75,33.33,13.04,38.71,39.02,33.33,35.29,,,0.0,,
Gary Trent Jr.,55.93,48.48,40.13,37.5,42.19,47.06,48.94,53.33,14.29,36.67,46.43,31.82,50.0,42.86
Georges Niang,66.67,49.3,44.64,32.14,38.64,45.56,35.21,48.0,50.0,0.0,0.0,100.0,50.0,50.0
Giannis Antetokounmpo,75.73,42.33,25.0,18.18,42.86,0.0,0.0,37.5,46.15,44.04,44.44,35.56,52.63,50.0
Goga Bitadze,72.34,40.0,0.0,12.5,20.0,0.0,0.0,36.36,87.5,50.0,0.0,0.0,,50.0
Gradey Dick,53.21,42.55,30.77,38.96,36.59,28.57,39.13,40.62,33.33,34.78,54.55,41.67,50.0,50.0
Grant Williams,70.83,25.0,44.44,30.43,41.18,37.5,25.0,66.67,50.0,0.0,50.0,0.0,,0.0
Grayson Allen,67.14,34.09,40.57,25.0,46.39,50.85,47.37,37.5,16.67,,66.67,100.0,,
Guerschon Yabusele,71.5,45.45,39.29,34.92,43.75,35.48,35.9,30.77,0.0,33.33,100.0,0.0,,0.0
Gui Santos,76.36,31.58,27.78,27.78,34.29,33.33,42.31,66.67,20.0,100.0,,,,
Harrison Barnes,66.5,45.16,35.71,38.89,40.98,45.1,49.51,48.48,58.82,0.0,,0.0,0.0,
Harrison Ingram,100.0,,0.0,,,,,100.0,,,,,0.0,
Haywood Highsmith,67.35,43.59,33.33,25.0,35.09,45.31,43.86,53.33,54.55,,0.0,50.0,,
Herbert Jones,61.4,30.77,0.0,0.0,50.0,42.86,31.25,0.0,50.0,0.0,100.0,100.0,0.0,100.0
Hunter Tyson,66.67,36.36,40.0,36.36,22.73,33.33,21.43,0.0,33.33,40.0,0.0,100.0,,
Immanuel Quickley,57.63,42.53,18.0,45.57,43.48,20.0,53.33,46.15,16.67,100.0,57.14,33.33,40.0,37.5
Isaac Jones,76.09,66.67,0.0,,0.0,50.0,50.0,50.0,33.33,,,,,
Isaac Okoro,64.42,53.85,44.44,44.44,22.22,45.83,32.73,28.57,33.33,,,,,0.0
Isaiah Collier,65.88,41.53,18.87,28.21,17.86,31.43,44.44,52.0,23.08,30.77,15.38,50.0,0.0,
Isaiah Crawford,50.0,75.0,0.0,0.0,0.0,100.0,,,,,,,,
Isaiah Hartenstein,73.31,51.97,0.0,0.0,0.0,0.0,0.0,58.62,39.47,57.14,40.0,66.67,,
Isaiah Jackson,61.9,100.0,,,,,,,0.0,,,,,
Isaiah Joe,80.39,28.0,38.33,34.74,38.4,59.32,50.0,75.0,25.0,72.73,30.77,20.0,50.0,33.33
Isaiah Mobley,100.0,0.0,0.0,100.0,,0.0,,0.0,,,,,,
Isaiah Stevens,,,,0.0,,,,0.0,,,,,,
Isaiah Stewart,68.36,40.62,20.0,31.25,42.86,16.67,66.67,50.0,69.23,0.0,,50.0,,
Isaiah Wong,42.86,33.33,25.0,37.5,62.5,0.0,50.0,30.77,,16.67,,80.0,50.0,100.0
Ivica Zubac,72.03,55.22,,,,,,57.75,48.1,41.67,33.33,0.0,,
JD Davison,44.44,42.86,0.0,33.33,20.0,,33.33,100.0,0.0,0.0,,0.0,,0.0
JT Thor,70.59,20.0,40.0,100.0,50.0,14.29,0.0,33.33,33.33,50.0,50.0,,100.0,0.0
Ja Morant,62.41,42.26,21.43,28.68,45.28,37.14,28.57,55.0,42.25,38.1,50.0,33.33,80.0,100.0
Ja'Kobe Walter,47.22,47.06,30.0,46.88,36.36,28.21,42.11,50.0,42.86,30.0,16.67,40.0,0.0,100.0
Jabari Smith Jr.,66.39,49.25,35.16,33.33,38.36,45.45,33.96,44.44,48.57,27.27,29.41,28.57,60.0,50.0
Jabari Walker,66.37,42.86,25.0,0.0,50.0,53.85,45.45,33.33,16.67,0.0,0.0,100.0,,0.0
Jack McVeigh,0.0,0.0,33.33,0.0,0.0,33.33,66.67,,,,,100.0,,0.0
Jackson Rowe,75.0,50.0,100.0,,0.0,50.0,,,100.0,,,,,
Jacob Toppin,22.22,100.0,50.0,,0.0,66.67,66.67,,,0.0,,,,
Jaden Hardy,57.14,51.67,46.03,45.95,25.0,38.89,40.0,28.57,60.0,36.36,50.0,30.77,0.0,16.67
Jaden Ivey,61.29,39.39,45.71,40.0,44.74,18.75,52.94,46.43,23.08,40.0,20.0,42.86,,0.0
Jaden McDaniels,72.83,46.07,37.5,35.29,32.76,30.56,36.71,39.02,40.0,71.43,26.32,47.37,33.33,66.67
Jaden Springer,77.78,30.77,41.67,33.33,22.22,13.33,25.0,40.0,50.0,50.0,,,,
Jae Crowder,100.0,0.0,50.0,,20.0,25.0,25.0,,100.0,,,,,50.0
Jae'Sean Tate,66.67,42.86,0.0,20.0,100.0,46.67,43.75,0.0,30.0,,,,,
Jahmir Young,100.0,,,50.0,,,,,,,,,,
Jaime Jaquez Jr.,60.75,38.46,33.33,37.5,40.0,35.14,17.24,43.48,46.15,,0.0,0.0,33.33,33.33
Jake LaRavia,65.71,39.66,55.81,39.29,34.48,38.1,35.29,18.18,33.33,100.0,0.0,25.0,0.0,
Jakob Poeltl,73.77,53.67,,0.0,,,100.0,46.0,47.37,40.0,20.0,66.67,50.0,40.0
Jalen Bridges,,,0.0,0.0,,50.0,100.0,,,,,,,
Jalen Brunson,63.2,53.67,34.78,35.0,37.84,31.25,57.14,53.73,49.47,39.73,46.55,42.42,0.0,54.55
Jalen Duren,73.39,48.91,,,,,,68.18,60.0,,,100.0,,
Jalen Green,64.62,36.99,35.5,36.32,33.33,25.0,43.48,37.29,24.39,33.85,42.22,35.29,11.76,44.44
Jalen Hood-Schifino,38.46,50.0,18.18,22.22,45.45,66.67,33.33,66.67,100.0,33.33,50.0,42.86,0.0,
Jalen Johnson,72.48,41.35,44.12,19.35,30.0,29.41,33.33,34.62,28.12,100.0,14.29,33.33,20.0,0.0
Jalen Pickett,70.0,45.83,37.5,26.92,48.15,38.89,42.86,0.0,57.14,10.0,33.33,44.44,60.0,0.0
Jalen Smith,67.41,57.14,38.64,28.85,30.3,31.82,42.86,75.0,25.0,100.0,0.0,20.0,0.0,
Jalen Suggs,73.49,36.92,21.43,32.88,35.59,42.86,50.0,45.83,15.38,47.37,30.0,60.0,33.33,50.0
Jalen Williams,65.9,42.97,33.83,35.71,34.23,42.86,26.67,51.85,44.76,57.69,44.64,43.08,40.0,55.56
Jalen Wilson,60.9,33.33,35.43,30.77,32.1,31.91,34.38,31.03,22.22,25.0,100.0,33.33,,0.0
Jamal Cain,67.57,41.38,37.5,30.0,33.33,33.33,29.41,50.0,60.0,,,0.0,,50.0
Jamal Murray,63.67,45.3,41.85,38.24,35.21,34.38,31.25,48.39,47.37,44.12,49.02,45.0,45.45,28.57
Jamal Shead,59.62,47.19,38.18,32.73,25.68,45.0,33.33,31.58,42.86,36.36,25.0,14.29,,50.0
Jamaree Bouyea,75.0,100.0,25.0,0.0,,,,0.0,,,100.0,,,
